country_name,region,catch,catch_ssf,catch_ssf_inland,catch_ssf_marine
Aruba,Americas,NA,NA,NA,NA
Afghanistan,Asia,0.00174,0.00174,0.00174,NA
Angola,Africa,0.4724762,0.152845699,0.0264126,0.126433099
Anguilla,Americas,NA,NA,NA,NA
Åland Islands,Europe,NA,NA,NA,NA
Albania,Europe,0.0083906,0.005024971,0.0017208,0.003304171
Andorra,Europe,NA,NA,NA,NA
United Arab Emirates,Asia,0.0730406,0.060629051,NA,0.060629051
Argentina,Americas,0.8316846,0.045826978,0.019732026,0.026094952
Armenia,Asia,0.0042312,0.0042312,0.0042312,NA
American Samoa,Oceania,NA,NA,NA,NA
Antarctica,NA,NA,NA,NA,NA
French Southern Territories,Africa,NA,NA,NA,NA
Antigua and Barbuda,Americas,0.0034428,0.002164128,NA,0.002164128
Australia,Oceania,0.1728294,0.199231116,0.0011046,0.198126516
Austria,Europe,3.5e-4,3.5e-4,3.5e-4,NA
Azerbaijan,Asia,7.936e-4,7.936e-4,7.936e-4,NA
Burundi,Africa,0.018042,0.018042,0.018042,NA
Belgium,Europe,0.025759,3.71545e-4,2.834e-4,8.81e-5
Benin,Africa,0.0454729,0.048915563,0.0290461,0.019869463
"Bonaire, Sint Eustatius and Saba",Americas,NA,NA,NA,NA
Burkina Faso,Africa,0.0217856,0.0217856,0.0217856,NA
Bangladesh,Asia,1.764547,1.72646638,1.14007356,0.58639282
Bulgaria,Europe,0.0088723,0.009089521,9.365e-5,0.008995871
Bahrain,Asia,0.015166,0.019675912,NA,0.019675912
Bahamas,Americas,0.0117916,0.00851773,NA,0.00851773
Bosnia and Herzegovina,Europe,3e-4,3e-4,3e-4,NA
Saint Barthélemy,Americas,NA,NA,NA,NA
Belarus,Europe,7.596e-4,7.596e-4,7.596e-4,NA
Belize,Americas,0.0842234,0.005180576,NA,0.005180576
Bermuda,Americas,NA,NA,NA,NA
Bolivia (Plurinational State of),Americas,0.0070322,0.0070322,0.0070322,NA
Brazil,Americas,0.8292848,0.578655148,0.27233855,0.306316598
Barbados,Americas,0.0026123,0.002612268,NA,0.002612268
Brunei Darussalam,Asia,0.0069076,0.003039332,NA,0.003039332
Bhutan,Asia,1.33e-5,1.33e-5,1.33e-5,NA
Bouvet Island,Americas,NA,NA,NA,NA
Botswana,Africa,3.512e-4,3.512e-4,3.512e-4,NA
Central African Republic,Africa,0.029,0.029,0.029,NA
Canada,Americas,0.8584387,0.147940763,0.0286134,0.119327363
Cocos (Keeling) Islands,Oceania,NA,NA,NA,NA
Channel Islands,Europe,NA,NA,NA,NA
Switzerland,Europe,0.0019592,0.0019592,0.0019592,NA
Chile,Americas,1.745241,0.895778988,NA,0.895778988
China,Asia,16.27108,8.725750317,2.2130276,6.512722717
Côte d'Ivoire,Africa,0.0860324,0.090429266,0.026112,0.064317266
Cameroon,Africa,0.2291854,0.091421005,0.0358584,0.055562605
Democratic Republic of the Congo,Africa,0.2439681,0.24396813,0.2293,0.01466813
Congo,Africa,0.0870032,0.059613056,0.042273334,0.017339722
Cook Islands,Oceania,0.004183,4.31e-4,5e-6,4.26e-4
Colombia,Americas,0.0807478,0.097968509,0.0203582,0.077610309
Comoros,Africa,0.0197778,0.005191536,NA,0.005191536
Cabo Verde,Africa,0.0310998,0.002379514,NA,0.002379514
