marine_inland_char,region,country_name,pop,country_count
inland,Africa,COD,13665200.6,0.5
inland,Africa,COG,2359713.66,0.5
inland,Africa,EGY,13106782.8,0.5
inland,Africa,GAB,87088.8693,0.5
inland,Africa,GHA,5670032.4,0.5
inland,Africa,GIN,609219.414,0.5
inland,Africa,GMB,154169.524,0.5
inland,Africa,GNB,165203.905,0.5
inland,Africa,KEN,5830930.65,0.5
inland,Africa,LBR,74959.6538,0.5
inland,Africa,MAR,1621245.77,0.5
inland,Africa,MDG,847490.038,0.5
inland,Africa,MLI,748996.838,1
inland,Africa,MOZ,2276924.44,0.5
inland,Africa,MRT,196471.358,0.5
inland,Africa,MWI,4366238.52,1
inland,Africa,NGA,17404734.1,0.5
inland,Africa,SEN,938701.906,0.5
inland,Africa,TCD,843254.681,1
inland,Africa,TZA,11524342.7,0.5
inland,Africa,UGA,17070561.7,1
inland,Africa,ZAF,1134568.53,0.5
inland,Africa,ZMB,1396559.39,1
inland,Americas,ARG,1952726.34,0.5
inland,Americas,BRA,33907105.5,0.5
inland,Americas,CHL,921047.679,0.5
inland,Americas,MEX,27563830.6,0.5
inland,Americas,PER,994839.083,0.5
inland,Americas,USA,83729529.1,0.5
inland,Asia,BGD,7525169.93,0.5
inland,Asia,CHN,157997539,0.5
inland,Asia,IDN,9361993.21,0.5
inland,Asia,IND,78890417.9,0.5
inland,Asia,IRN,6548185.74,0.5
inland,Asia,LAO,312020.117,1
inland,Asia,LKA,3773260.77,0.5
inland,Asia,PHL,27127821,0.5
inland,Asia,THA,4733522.56,0.5
inland,Asia,TUR,16488655.5,0.5
inland,Asia,VNM,859813.186,0.5
inland,Europe,ESP,833599.889,0.5
inland,Europe,GBR,1295136.28,0.5
inland,Europe,NOR,1544106.39,0.5
marine,Africa,COD,328236.033,0.5
marine,Africa,COG,537104.593,0.5
marine,Africa,EGY,14915746.6,0.5
marine,Africa,GAB,715092.21,0.5
marine,Africa,GHA,8054829.47,0.5
marine,Africa,GIN,3514074.6,0.5
marine,Africa,GMB,1877354.23,0.5
marine,Africa,GNB,1143784.24,0.5
marine,Africa,KEN,3041719.87,0.5
marine,Africa,LBR,2350831.01,0.5
marine,Africa,MAR,15647347.6,0.5
marine,Africa,MDG,6117728.65,0.5
marine,Africa,MOZ,7720547.22,0.5
marine,Africa,MRT,1605107.96,0.5
marine,Africa,NGA,23646530.9,0.5
marine,Africa,SEN,6521625.13,0.5
marine,Africa,SLE,2267930.01,1
marine,Africa,SYC,82249.1856,1
marine,Africa,TZA,10592162.8,0.5
marine,Africa,ZAF,12785462.1,0.5
marine,Americas,ARG,11952074.7,0.5
marine,Americas,BRA,50775055.2,0.5
marine,Americas,BRB,283862.875,1
marine,Americas,CHL,3835357,0.5
marine,Americas,LCA,191504.705,1
marine,Americas,MEX,15121271.3,0.5
marine,Americas,PER,14211855.4,0.5
marine,Americas,USA,84260145.2,0.5
marine,Americas,VCT,73332.875,1
marine,Asia,BGD,36453242.4,0.5
marine,Asia,CHN,197790342,0.5
marine,Asia,IDN,121790244,0.5
marine,Asia,IND,120208973,0.5
marine,Asia,IRN,5149386.46,0.5
marine,Asia,LKA,10592331.9,0.5
marine,Asia,MDV,86417.2188,1
marine,Asia,PHL,76720698.2,0.5
marine,Asia,THA,16898775.9,0.5
marine,Asia,TUR,33238365.5,0.5
marine,Asia,VNM,30290235.3,0.5
marine,Europe,ESP,21640463.5,0.5
marine,Europe,GBR,25072789.9,0.5
marine,Europe,NOR,3586633.36,0.5
marine,Oceania,FJI,845345.278,1
marine,Oceania,KIR,49040.5776,1
marine,Oceania,TON,85147.6096,1
marine,Oceania,VUT,263146.791,1
marine,Oceania,WSM,196123.111,1
inland,Africa,extrapolated,44037163.90449999,12
inland,Americas,extrapolated,47784222.465909004,10.5
inland,Asia,extrapolated,46004306.561469,16.5
inland,Europe,extrapolated,74789437.0513,18
inland,Oceania,extrapolated,3808191.0540099996,2
marine,Africa,extrapolated,57390468.294,13
marine,Americas,extrapolated,74211394.4542,14.5
marine,Asia,extrapolated,208352334.8782,18.5
marine,Europe,extrapolated,106071202.78999998,14
marine,Oceania,extrapolated,23399884.855299998,4
