region,ssf_metric,number_countries_with_data,percent_countries_with_data,prop_catch_represented
Africa,catch,54,90.00%,1
Americas,catch,38,66.67%,1
Asia,catch,48,94.12%,1
Europe,catch,39,72.22%,1
Oceania,catch,17,58.62%,1
Africa,employment,53,88.33%,0.991132761302459
Americas,employment,33,57.89%,0.9794985503093406
Asia,employment,49,96.08%,0.9999732359619714
Europe,employment,40,74.07%,0.958822715723819
Oceania,employment,12,41.38%,0.8820394527050892
Africa,livelihood,53,88.33%,0.991132761302459
Americas,livelihood,33,57.89%,0.9794985503093406
Asia,livelihood,49,96.08%,0.9999732359619714
Europe,livelihood,40,74.07%,0.958822715723819
Oceania,livelihood,12,41.38%,0.8820394527050892
Africa,portions,22,36.67%,0.7176761391274995
Americas,portions,11,19.30%,0.8581878486093749
Asia,portions,11,21.57%,0.7693201158475804
Europe,portions,3,5.56%,0.280583830908576
Oceania,portions,7,24.14%,0.19871905610737176
Africa,women_employment,53,88.33%,0.991132761302459
Americas,women_employment,33,57.89%,0.9794985503093406
Asia,women_employment,49,96.08%,0.9999732359619714
Europe,women_employment,40,74.07%,0.958822715723819
Oceania,women_employment,12,41.38%,0.8820394527050892
